(219, 242, 255)
(218, 241, 255)
(211, 245, 255)
(206, 240, 253)
(206, 236, 255)
(206, 236, 255)
(205, 238, 255)
(203, 236, 255)
(203, 241, 255)
(183, 221, 235)
(182, 205, 231)
(180, 203, 229)
(201, 219, 231)
(208, 226, 238)
(190, 215, 225)
(191, 216, 226)
(197, 222, 234)
(202, 227, 239)
(203, 230, 243)
(202, 229, 242)
(195, 232, 240)
(194, 231, 239)
(196, 227, 232)
(195, 226, 231)
(201, 228, 237)
(198, 225, 234)
(194, 229, 239)
(194, 229, 239)
(196, 226, 236)
(194, 224, 234)
(190, 225, 231)
(188, 223, 229)
(191, 219, 241)
(191, 219, 241)
(190, 222, 233)
(188, 220, 231)
(187, 217, 229)
(186, 216, 228)
(189, 213, 214)
(187, 211, 212)
(186, 207, 225)
(186, 207, 225)
(180, 208, 228)
(180, 208, 228)
(177, 207, 226)
(174, 204, 223)
(179, 205, 221)
(176, 202, 218)
(172, 203, 217)
(170, 201, 215)
(173, 199, 215)
(174, 200, 216)
(175, 199, 200)
(175, 199, 200)
(173, 196, 204)
(170, 193, 201)
(172, 196, 199)
(172, 196, 199)
(169, 192, 214)
(168, 191, 213)
(155, 176, 194)
(149, 170, 188)
(148, 169, 187)
(137, 158, 176)
(128, 135, 157)
(145, 152, 174)
(151, 166, 168)
(153, 168, 170)
(149, 173, 174)
(151, 175, 176)
(160, 187, 187)
(161, 188, 188)
(165, 188, 196)
(163, 186, 194)
(158, 182, 183)
(149, 173, 174)
(131, 148, 149)
(123, 140, 141)
(157, 157, 166)
(157, 157, 166)
(145, 165, 167)
(148, 168, 170)
(156, 181, 173)
(159, 184, 176)
(160, 187, 189)
(159, 186, 188)
(160, 187, 196)
(162, 189, 198)
(171, 193, 192)
(172, 194, 193)
(191, 195, 198)
(205, 209, 212)
(179, 201, 204)
(171, 193, 196)
(167, 194, 194)
(168, 195, 195)
(172, 193, 199)
(167, 188, 194)
(166, 189, 197)
(164, 187, 195)
(168, 192, 193)
(171, 195, 196)
(169, 193, 194)
(170, 194, 195)
(174, 196, 199)
(174, 196, 199)
(174, 196, 199)
(173, 195, 198)
(174, 196, 199)
(175, 197, 200)
(172, 195, 203)
(171, 194, 202)
(176, 200, 201)
(170, 194, 195)
(171, 195, 196)
(173, 197, 198)
(172, 196, 197)
(173, 197, 198)
(176, 201, 197)
(173, 198, 194)
(171, 196, 190)
(171, 196, 190)
(171, 196, 192)
(172, 197, 193)
(172, 196, 197)
(172, 196, 197)
(171, 194, 200)
(171, 194, 200)
(172, 196, 197)
(173, 197, 198)
(173, 197, 198)
(171, 195, 196)
(173, 193, 193)
(173, 193, 193)
(169, 189, 191)
(168, 188, 190)
(169, 189, 191)
(165, 185, 187)
(160, 180, 182)
(159, 179, 181)
(165, 187, 188)
(165, 187, 188)
(165, 185, 185)
(164, 184, 184)
(166, 184, 196)
(165, 183, 195)
(164, 184, 188)
(164, 184, 188)
(164, 187, 183)
(164, 187, 183)
(163, 186, 180)
(163, 186, 180)
(162, 187, 183)
(163, 188, 184)
(163, 187, 188)
(162, 186, 187)
(161, 185, 186)
(161, 185, 186)
(161, 185, 184)
(161, 185, 184)
(169, 186, 187)
